event_id,event_type,event_time,ingest_time,advertiser_id,campaign_id,placement,device,geo,spend,currency
evt_61223f8a,impression,2026-06-01T10:46:35Z,2026-06-01T01:29:15Z,adv_1618,cmp_1618_2,banner_300x250,tablet,IN,0.0100,USD
evt_6222411d,impression,2026-06-01T08:40:26Z,2026-06-01T06:55:13Z,adv_1611,cmp_1611_3,interstitial,tablet,CA,0.0166,USD
evt_5f223c64,impression,2026-06-01T22:15:57Z,2026-06-01T05:07:04Z,adv_1590,cmp_1590_1,banner_728x90,tablet,SG,0.0151,USD
evt_60223df7,impression,2026-06-01T01:56:59Z,2026-06-01T23:34:02Z,adv_1590,cmp_1590_2,preroll,ctv,SG,0.0089,USD
evt_5d22393e,impression,2026-06-01T10:00:15Z,2026-06-01T04:28:13Z,adv_918,cmp_918_x,preroll,mobile,US,0.0077,USD
evt_5d22393e,impression,2026-06-01T10:00:15Z,2026-06-01T04:28:13Z,adv_918,cmp_918_x,preroll,mobile,US,0.0077,USD
evt_5e223ad1,impression,2026-06-01T10:31:37Z,2026-06-01T12:29:48Z,adv_1576,cmp_1576_3,banner_300x250,tablet,SG,0.0073,USD
evt_5b223618,impression,2026-06-01T11:58:22Z,2026-06-01T17:00:24Z,adv_1590,cmp_1590_3,banner_300x250,desktop,GB,0.0028,USD
evt_5c2237ab,impression,2026-06-01T07:59:04Z,2026-06-01T12:46:50Z,adv_1597,cmp_1597_1,banner_728x90,mobile,SG,0.0121,USD
evt_592232f2,impression,2026-06-01T07:27:22Z,2026-06-01T17:12:27Z,adv_1590,cmp_1590_2,interstitial,desktop,AU,0.0051,USD
evt_5a223485,impression,2026-06-01T15:02:26Z,2026-06-01T04:34:14Z,adv_1548,cmp_1548_1,banner_728x90,tablet,DE,0.0067,INR
evt_a8ec99d7,click,2026-06-01T08:26:36Z,2026-06-01T05:03:46Z,adv_1569,cmp_1569_3,banner_728x90,tablet,DE,0.7664,USD
evt_a7ec9844,impression,2026-06-01T03:43:44Z,2026-06-01T17:30:27Z,adv_1618,cmp_1618_1,preroll,tablet,GB,0.0059,USD
evt_aaec9cfd,impression,2026-06-01T20:53:19Z,2026-06-01T10:44:52Z,adv_1569,cmp_1569_3,interstitial,mobile,AU,0.0083,USD
evt_a9ec9b6a,click,2026-06-01T10:30:59Z,2026-06-01T02:14:33Z,adv_1548,cmp_1548_2,banner_728x90,tablet,GB,0.8353,USD
evt_a4ec938b,impression,2026-06-01T04:29:19Z,2026-06-01T00:29:22Z,adv_1555,cmp_1555_3,banner_728x90,ctv,DE,0.0186,USD
evt_a3ec91f8,conversion,2026-06-01T16:29:34Z,2026-06-01T10:45:06Z,adv_1604,cmp_1604_3,banner_728x90,mobile,CA,0.0000,INR
evt_a6ec96b1,impression,2026-06-01T01:23:15Z,2026-06-01T04:39:49Z,adv_1618,cmp_1618_2,banner_300x250,mobile,US,0.0001,USD
evt_a5ec951e,click,2026-06-01T03:09:26Z,2026-06-01T10:41:24Z,adv_1604,cmp_1604_3,native_feed,desktop,SG,0.8844,USD
evt_a0ec8d3f,impression,2026-06-01T21:03:57Z,2026-06-01T09:26:11Z,adv_1611,cmp_1611_1,preroll,desktop,unknown,0.0151,USD
evt_9fec8bac,impression,2026-06-01T18:45:53Z,2026-06-01T20:32:46Z,adv_1618,cmp_1618_1,interstitial,ctv,SG,0.0165,USD
evt_16e4f83c,impression,2026-06-01T18:02:39Z,2026-06-03T04:13:05Z,adv_1590,cmp_1590_2,banner_300x250,tablet,CA,0.0080,USD
evt_17e4f9cf,impression,2026-06-01T08:51:37Z,2026-06-01T01:04:29Z,adv_1604,cmp_1604_2,banner_300x250,tablet,DE,0.0039,INR
evt_18e4fb62,impression,2026-06-01T18:44:13Z,2026-06-03T23:11:07Z,adv_1611,cmp_1611_2,preroll,mobile,SG,0.0160,USD
evt_19e4fcf5,impression,2026-06-01T15:38:23Z,2026-06-01T16:20:25Z,adv_1576,cmp_1576_1,preroll,tablet,SG,0.0072,USD
evt_12e4f1f0,click,2026-06-01T12:01:22Z,2026-06-01T18:02:15Z,adv_1618,cmp_1618_2,preroll,desktop,SG,0.2973,USD
evt_13e4f383,impression,2026-06-01T08:18:08Z,2026-06-01T21:49:59Z,adv_1583,cmp_1583_2,native_feed,ctv,DE,0.0133,INR
