event_id,event_type,event_time,ingest_time,advertiser_id,campaign_id,placement,device,geo,media_cost,currency,viewability
evt_4bbdcf6e,impression,2026-06-04 17:04:44+05:30,2026-06-04T21:15:49Z,adv_1583,cmp_1583_3,native_feed,mobile,US,0.0096,USD,0.53
evt_4bbdcf6e,impression,2026-06-04 17:04:44+05:30,2026-06-04T21:15:49Z,adv_1583,cmp_1583_3,native_feed,mobile,US,0.0096,USD,0.53
evt_4cbdd101,impression,2026-06-04 02:33:39+05:30,2026-06-06T02:15:40Z,adv_1555,cmp_1555_2,interstitial,ctv,IN,0.0063,USD,0.86
evt_49bdcc48,impression,2026-06-04 14:09:12+05:30,2026-06-04T03:08:57Z,adv_1562,cmp_1562_2,interstitial,mobile,IN,0.0147,USD,0.89
evt_4abdcddb,impression,2026-06-04 19:34:34+05:30,2026-06-04T21:39:52Z,adv_1618,cmp_1618_1,preroll,desktop,DE,0.0192,USD,0.93
evt_4abdcddb,impression,2026-06-04 19:34:34+05:30,2026-06-04T21:39:52Z,adv_1618,cmp_1618_1,preroll,desktop,DE,0.0192,USD,0.93
evt_4fbdd5ba,click,2026-06-04 02:13:52+05:30,2026-06-04T06:50:54Z,adv_1562,cmp_1562_1,banner_728x90,tablet,IN,0.0037,USD,0.80
evt_50bdd74d,impression,2026-06-04 05:56:42+05:30,2026-06-04T01:09:28Z,adv_1590,cmp_1590_3,interstitial,desktop,AU,0.0017,USD,0.67
evt_4dbdd294,impression,2026-06-04 02:44:08+05:30,2026-06-04T03:03:31Z,adv_1590,cmp_1590_3,preroll,tablet,DE,0.0165,USD,0.46
evt_4ebdd427,impression,2026-06-04 17:25:41+05:30,2026-06-04T01:41:20Z,adv_1625,cmp_1625_2,interstitial,mobile,unknown,0.0135,USD,0.46
evt_43bdc2d6,click,2026-06-04 04:06:29+05:30,2026-06-04T21:06:59Z,adv_1548,cmp_1548_2,interstitial,mobile,DE,0.1897,USD,0.42
evt_44bdc469,impression,2026-06-04 10:55:59+05:30,2026-06-05T02:04:23Z,adv_1569,cmp_1569_3,banner_728x90,tablet,CA,0.0116,USD,0.83
evt_ffd05023,impression,N/A,2026-06-04T18:32:00Z,adv_1569,cmp_1569_3,banner_728x90,tablet,IN,0.0119,USD,0.65
evt_fed04e90,impression,2026-06-04 00:10:19+05:30,2026-06-04T20:04:39Z,adv_1569,cmp_1569_2,banner_300x250,mobile,IN,0.0101,INR,0.84
evt_1d05349,impression,2026-06-04 08:11:04+05:30,2026-06-04T17:08:35Z,adv_1618,cmp_1618_1,banner_728x90,desktop,IN,0.0103,USD,0.55
evt_d051b6,conversion,2026-06-04 18:14:27+05:30,2026-06-04T19:16:36Z,adv_1555,cmp_1555_3,interstitial,mobile,unknown,0.0000,INR,0.62
evt_3d0566f,impression,2026-06-04 14:48:02+05:30,2026-06-04T00:06:14Z,adv_1611,cmp_1611_3,preroll,desktop,CA,0.0122,USD,0.92
evt_2d054dc,impression,2026-06-04 08:36:01+05:30,2026-06-04T23:52:08Z,adv_1583,cmp_1583_1,preroll,desktop,US,0.0177,USD,0.72
evt_5d05995,impression,2026-06-04 18:00:20+05:30,2026-06-04T05:44:33Z,adv_1625,cmp_1625_1,preroll,ctv,US,0.0104,USD,0.89
evt_4d05802,impression,2026-06-04 10:22:05+05:30,2026-06-04T15:07:15Z,adv_1590,cmp_1590_1,preroll,ctv,,0.0059,USD,0.93
evt_7d05cbb,impression,2026-06-04 23:09:56+05:30,2026-06-04T20:33:40Z,adv_1548,cmp_1548_2,banner_300x250,desktop,CA,0.0141,USD,0.82
evt_6d05b28,impression,2026-06-04 13:11:43+05:30,2026-06-04T10:20:24Z,adv_1604,cmp_1604_1,banner_300x250,ctv,DE,0.0128,USD,0.86
evt_8dc8e0e8,impression,2026-06-04 13:02:32+05:30,2026-06-04T09:45:23Z,adv_1583,cmp_1583_1,native_feed,mobile,SG,0.0021,USD,0.62
evt_8ec8e27b,impression,2026-06-04 17:15:42+05:30,2026-06-04T08:27:58Z,adv_1604,cmp_1604_2,interstitial,mobile,GB,0.0008,INR,0.55
evt_8fc8e40e,click,2026-06-04 03:28:12+05:30,2026-06-04T04:11:35Z,adv_1618,cmp_1618_2,banner_728x90,tablet,GB,0.4637,USD,0.43
evt_90c8e5a1,click,2026-06-04 12:00:10+05:30,2026-06-04T08:51:49Z,adv_1569,cmp_1569_2,preroll,desktop,SG,0.8206,USD,0.49
evt_91c8e734,impression,2026-06-04 20:52:54+05:30,2026-06-04T10:05:30Z,adv_1576,cmp_1576_2,banner_728x90,tablet,IN,0.0145,INR,0.59
evt_92c8e8c7,impression,2026-06-04 21:36:56+05:30,2026-06-04T09:46:03Z,adv_1569,cmp_1569_1,native_feed,desktop,CA,0.0013,USD,0.92
evt_93c8ea5a,click,2026-06-04 03:09:45+05:30,2026-06-04T05:42:47Z,adv_1562,cmp_1562_3,preroll,tablet,US,0.6620,INR,0.75
evt_94c8ebed,impression,2026-06-04 07:57:58+05:30,2026-06-04T09:22:22Z,adv_1569,cmp_1569_2,banner_728x90,tablet,IN,0.0066,USD,0.72
evt_85c8d450,impression,2026-06-04 22:47:02+05:30,2026-06-04T19:26:41Z,adv_1562,cmp_1562_3,native_feed,desktop,unknown,0.0129,USD,0.57
evt_86c8d5e3,impression,2026-06-04 08:25:05+05:30,2026-06-04T00:54:34Z,adv_1590,cmp_1590_2,banner_728x90,tablet,SG,0.0082,USD,0.60
evt_93cb28f1,impression,2026-06-04 04:58:19+05:30,2026-06-04T17:43:23Z,adv_1618,cmp_1618_3,native_feed,desktop,unknown,0.0056,USD,0.92
evt_92cb275e,impression,2026-06-04 16:18:39+05:30,2026-06-04T00:02:25Z,adv_1548,cmp_1548_3,interstitial,ctv,CA,0.0102,USD,0.85
evt_91cb25cb,impression,2026-06-04 18:22:28+05:30,2026-06-04T11:16:45Z,adv_1611,cmp_1611_3,native_feed,ctv,AU,0.0128,USD,0.43
evt_90cb2438,impression,2026-06-04 22:43:52+05:30,2026-06-04T05:47:57Z,adv_1625,cmp_1625_3,banner_728x90,desktop,IN,0.0068,USD,0.84
evt_97cb2f3d,impression,2026-06-04 07:08:46+05:30,2026-06-04T04:53:46Z,adv_1555,cmp_1555_3,native_feed,tablet,SG,0.0043,USD,0.52
evt_96cb2daa,click,2026-06-04 13:40:51+05:30,2026-06-04T00:44:08Z,adv_1604,cmp_1604_3,banner_300x250,desktop,DE,0.0634,USD,0.68
evt_95cb2c17,click,2026-06-04 02:30:43+05:30,2026-06-04T05:34:45Z,adv_1562,cmp_1562_3,banner_300x250,mobile,AU,0.6837,USD,0.66
evt_94cb2a84,impression,2026-06-04 03:34:52+05:30,2026-06-04T08:03:54Z,adv_1604,cmp_1604_3,interstitial,ctv,unknown,0.0059,USD,0.55
evt_8bcb1c59,impression,2026-06-04 16:58:01+05:30,2026-06-04T05:39:17Z,adv_1590,cmp_1590_2,native_feed,tablet,IN,0.0200,USD,0.47
evt_8bcb1c59,impression,2026-06-04 16:58:01+05:30,2026-06-04T05:39:17Z,adv_1590,cmp_1590_2,native_feed,tablet,IN,0.0200,USD,0.47
evt_8acb1ac6,impression,2026-06-04 07:40:27+05:30,2026-06-04T18:51:28Z,adv_1611,cmp_1611_2,preroll,ctv,CA,0.0075,USD,0.96
evt_11d7283e,impression,2026-06-04 11:47:24+05:30,2026-06-04T16:05:39Z,adv_1583,cmp_1583_2,preroll,ctv,SG,0.0138,INR,0.53
evt_12d729d1,click,2026-06-04 07:35:41+05:30,2026-06-04T06:46:55Z,adv_1576,cmp_1576_3,interstitial,tablet,IN,0.4564,INR,0.76
evt_fd72518,impression,2026-06-04 00:01:29+05:30,2026-06-04T06:58:29Z,adv_1604,cmp_1604_3,preroll,mobile,US,0.0104,USD,0.67
evt_10d726ab,impression,2026-06-04 06:30:26+05:30,2026-06-04T20:47:30Z,adv_1576,cmp_1576_1,interstitial,tablet,unknown,0.0098,INR,0.99
evt_15d72e8a,impression,2026-06-04 23:22:34+05:30,2026-06-04T07:06:55Z,adv_1555,cmp_1555_1,native_feed,ctv,GB,0.0032,USD,0.97
evt_16d7301d,impression,2026-06-04 15:09:18+05:30,2026-06-04T06:46:22Z,adv_1611,cmp_1611_1,interstitial,desktop,AU,0.0093,USD,0.51
evt_13d72b64,click,2026-06-04 12:43:54+05:30,2026-06-04T12:53:52Z,adv_1625,cmp_1625_1,interstitial,mobile,,0.7175,USD,1.00
evt_14d72cf7,impression,2026-06-04 18:02:21+05:30,2026-06-06T21:36:07Z,adv_1597,cmp_1597_2,banner_300x250,mobile,DE,0.0089,USD,0.90
evt_9d71ba6,impression,2026-06-04 08:24:23+05:30,2026-06-04T07:20:08Z,adv_1611,cmp_1611_1,preroll,desktop,IN,0.0118,USD,0.48
evt_ad71d39,impression,2026-06-04 18:09:33+05:30,2026-06-04T11:52:39Z,adv_1604,cmp_1604_2,preroll,tablet,IN,0.0049,USD,0.42
evt_97da39c7,impression,2026-06-04 11:31:48+05:30,2026-06-04T05:59:23Z,adv_1597,cmp_1597_3,preroll,mobile,CA,0.0077,USD,0.62
evt_96da3834,impression,2026-06-04 08:27:31+05:30,2026-06-04T05:54:35Z,adv_1618,cmp_1618_2,banner_728x90,ctv,CA,0.0183,USD,0.55
evt_99da3ced,impression,2026-06-04 22:24:17+05:30,2026-06-04T16:40:48Z,adv_1625,cmp_1625_2,preroll,desktop,CA,0.0071,USD,0.42
evt_98da3b5a,impression,2026-06-04 20:50:56+05:30,2026-06-04T06:27:58Z,adv_1590,cmp_1590_2,native_feed,ctv,GB,0.0136,USD,0.94
evt_93da337b,impression,2026-06-04 20:39:13+05:30,2026-06-04T21:27:45Z,adv_1562,cmp_1562_2,preroll,desktop,US,0.0001,USD,0.52
